StationID,Survey,Strata,TrendStrata,AreaWeight,LOE,Score,Category
B98-2128,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,4,High
B98-2128,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,3,Moderate
B98-2128,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,4,Likely impacted
B98-2128,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,3,Moderate
B98-2129,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,2,Low
B98-2129,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,3,Moderate
B98-2129,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,3,Possibly impacted
B98-2129,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,4,High
B98-2130,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,3,Moderate
B98-2130,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,2,Low
B98-2130,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,4,Likely impacted
B98-2130,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,4,High
B98-2131,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,2,Low
B98-2131,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,2,Low
B98-2131,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,1,Unimpacted
B98-2131,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,1,None
B98-2134,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,3,Moderate
B98-2134,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,4,High
B98-2134,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,5,Clearly impacted
B98-2134,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,3,Moderate
B98-2136,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,3,Moderate
B98-2136,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,4,High
B98-2136,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,5,Clearly impacted
B98-2136,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,4,High
B98-2137,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,3,Moderate
B98-2137,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,4,High
B98-2137,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,5,Clearly impacted
B98-2137,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,4,High
B98-2138,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,3,Moderate
B98-2138,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,3,Moderate
B98-2138,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,4,Likely impacted
B98-2138,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,4,High
B98-2141,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,3,Moderate
B98-2141,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,3,Moderate
B98-2141,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,4,Likely impacted
B98-2141,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,3,Moderate
B98-2142,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,2,Low
B98-2142,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,3,Moderate
B98-2142,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,3,Possibly impacted
B98-2142,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,4,High
B98-2143,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,2,Low
B98-2143,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,3,Moderate
B98-2143,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,3,Possibly impacted
B98-2143,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,4,High
B98-2144,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,2,Low
B98-2144,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,3,Moderate
B98-2144,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,3,Possibly impacted
B98-2144,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,3,Moderate
B98-2145,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,1,None
B98-2145,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,1,None
B98-2145,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,1,Unimpacted
B98-2145,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,3,Moderate
B98-2146,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,1,None
B98-2146,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,2,Low
B98-2146,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,1,Unimpacted
B98-2146,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,2,Low
B98-2147,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,2,Low
B98-2147,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,3,Moderate
B98-2147,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,3,Possibly impacted
B98-2147,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,4,High
B98-2148,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,1,None
B98-2148,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,2,Low
B98-2148,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,1,Unimpacted
B98-2148,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,1,None
B98-2149,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,1,None
B98-2149,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,1,None
B98-2149,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,1,Unimpacted
B98-2149,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,1,None
B98-2150,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,2,Low
B98-2150,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,2,Low
B98-2150,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,1,Unimpacted
B98-2150,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,1,None
B98-2151,1998,marina,Ports/Marinas/Bays,0.4359,Benthic,3,Moderate
B98-2151,1998,marina,Ports/Marinas/Bays,0.4359,Chemistry,3,Moderate
B98-2151,1998,Marina,Ports/Marinas/Bays,0.4359,SQO Integrated,3,Possibly impacted
B98-2151,1998,marina,Ports/Marinas/Bays,0.4359,Toxicity,1,None
B98-2152,1998,other,Shelf,1.798513625,Benthic,1,None
B98-2152,1998,other,Shelf,1.798513625,Chemistry,2,Low
