"objectid","latitude","longitude","stratum","sampledate","analytename","result","units","qualifier","rl","mdl","truevalue","areaweight","surveyyear","analyteclass","analysisdate"
38396,33.76688,-118.24861,"Marinas","2003-8-6 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",1,0.27,"-99",0.4913,2003,"Chlorinated Hydrocarbons","2004-4-2 00:00:00"
46932,33.74408,-118.16892,"Ports/Bays/Harbors","2003-8-7 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",1,0.27,"-99",2.73883,2003,"Chlorinated Hydrocarbons","2004-4-9 00:00:00"
51622,33.74528,-118.21549,"Ports/Bays/Harbors","2003-8-6 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",1,0.27,"-99",2.73883,2003,"Chlorinated Hydrocarbons","2004-4-9 00:00:00"
53335,33.73148,-118.19204,"Ports/Bays/Harbors","2003-8-7 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",1,0.27,"-99",2.73883,2003,"Chlorinated Hydrocarbons","2004-4-9 00:00:00"
58701,33.75249,-118.21819,"Ports/Bays/Harbors","2003-8-6 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",1,0.27,"-99",2.73883,2003,"Chlorinated Hydrocarbons","2004-4-9 00:00:00"
61389,33.72406,-118.22493,"Ports/Bays/Harbors","2003-8-6 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",1,0.27,"-99",2.73883,2003,"Chlorinated Hydrocarbons","2004-4-9 00:00:00"
68096,33.73863,-118.23339,"Ports/Bays/Harbors","2003-8-6 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",1,0.27,"-99",2.73883,2003,"Chlorinated Hydrocarbons","2004-4-9 00:00:00"
70934,33.76199,-118.20825,"Ports/Bays/Harbors","2003-8-6 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",1,0.27,"-99",2.73883,2003,"Chlorinated Hydrocarbons","2004-4-9 00:00:00"
72633,33.74835,-118.19871,"Ports/Bays/Harbors","2003-8-7 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",1,0.27,"-99",2.73883,2003,"Chlorinated Hydrocarbons","2004-4-9 00:00:00"
74469,33.73131,-118.20415,"Ports/Bays/Harbors","2003-8-7 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",1,0.27,"-99",2.73883,2003,"Chlorinated Hydrocarbons","2004-4-9 00:00:00"
167060,33.72426,-118.22431,"Bays","2008-7-24 00:00:00","4,4'-DDT",9.8,"ng/g dw","none",5,1,"-99",2.041,2008,"Chlorinated Hydrocarbons","2008-11-12 00:00:00"
167865,33.72691,-118.23258,"Ports","2008-7-17 00:00:00","4,4'-DDT",6.9,"ng/g dw","none",5,1,"-99",1.307,2008,"Chlorinated Hydrocarbons","2008-11-12 00:00:00"
167728,33.72923,-118.23415,"Ports","2008-7-17 00:00:00","4,4'-DDT",4.2999999,"ng/g dw","below reporting level",5,1,"-99",1.307,2008,"Chlorinated Hydrocarbons","2008-11-12 00:00:00"
167850,33.73151,-118.22338,"Bays","2008-7-17 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",5,1,"-99",2.041,2008,"Chlorinated Hydrocarbons","2008-11-12 00:00:00"
157238,33.73133,-118.19163,"Ports","2008-7-31 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",5,1,"-99",1.307,2008,"Chlorinated Hydrocarbons","2008-11-12 00:00:00"
157001,33.73441,-118.23116,"Ports","2008-7-24 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",5,1,"-99",1.307,2008,"Chlorinated Hydrocarbons","2008-11-12 00:00:00"
157030,33.73516,-118.18006,"Bays","2008-9-18 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",5,1,"-99",2.041,2008,"Chlorinated Hydrocarbons","2008-11-17 00:00:00"
157672,33.73968,-118.1718,"Bays","2008-9-9 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",5,1,"-99",2.041,2008,"Chlorinated Hydrocarbons","2008-11-17 00:00:00"
157496,33.74191,-118.20593,"Ports","2008-7-31 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",5,1,"-99",1.307,2008,"Chlorinated Hydrocarbons","2008-11-17 00:00:00"
157626,33.74311,-118.20521,"Ports","2008-7-31 00:00:00","4,4'-DDT",1.7,"ng/g dw","below reporting level",5,1,"-99",1.307,2008,"Chlorinated Hydrocarbons","2008-11-17 00:00:00"
156395,33.7441,-118.1688,"Bays","2008-9-9 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",5,1,"-99",2.041,2008,"Chlorinated Hydrocarbons","2008-11-17 00:00:00"
156095,33.74505,-118.23803,"Ports","2008-7-29 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",5,1,"-99",1.307,2008,"Chlorinated Hydrocarbons","2008-11-17 00:00:00"
156448,33.74548,-118.21536,"Ports","2008-7-28 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",5,1,"-99",1.307,2008,"Chlorinated Hydrocarbons","2008-11-12 00:00:00"
156776,33.75011,-118.22498,"Ports","2008-7-29 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",5,1,"-99",1.307,2008,"Chlorinated Hydrocarbons","2008-11-17 00:00:00"
156006,33.7506,-118.17598,"Bays","2008-9-10 00:00:00","4,4'-DDT",0,"ng/g dw","not detected",5,1,"-99",2.041,2008,"Chlorinated Hydrocarbons","2008-11-17 00:00:00"
